title,image,score,media_type,genres,category,is_winner
Yubisaki to Renren,https://cdn.myanimelist.net/images/anime/1478/140828l.webp,8.21,tv,"Adult Cast, Romance, Shoujo",Must Protect At All Costs Character,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Best Anime Song,False
Mashle,https://cdn.myanimelist.net/images/anime/1218/135107l.webp,7.62,tv,"Action, Comedy, Fantasy, Gag Humor, Parody, School, Shounen",Best Anime Song,False
[Oshi no Ko] 2nd Season,https://cdn.myanimelist.net/images/anime/1006/143302l.webp,8.57,tv,"Drama, Reincarnation, Seinen, Showbiz",Best Anime Song,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Best Anime Song,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Anime Song,True
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Anime Song,False
Bleach: Sennen Kessen-hen - Soukoku-tan,https://cdn.myanimelist.net/images/anime/1595/144074l.webp,8.67,tv,"Action, Adventure, Shounen, Supernatural",Best Score,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Score,False
Kimetsu no Yaiba: Hashira Geiko-hen,https://cdn.myanimelist.net/images/anime/1565/142711l.webp,8.09,tv,"Action, Historical, Shounen, Supernatural",Best Score,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Score,False
Look Back,https://cdn.myanimelist.net/images/anime/1716/142633l.webp,8.65,movie,"Drama, Otaku Culture, Shounen",Best Score,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Best Score,True
