image,title,start_date,genres,num_list_users,media_type
https://cdn.myanimelist.net/images/anime/1438/149160l.jpg,Kekka Alright,2025-04-08,Music,6.36,music
https://cdn.myanimelist.net/images/anime/1839/132018l.jpg,Prince Mackaroo,1998-10-05,"Adventure, Award Winning, Comedy, Fantasy, Kids",6.37,tv
https://cdn.myanimelist.net/images/anime/13/77617l.jpg,Bono Bono,2016-04-02,"Anthropomorphic, Comedy, Slice of Life",6.38,tv
https://cdn.myanimelist.net/images/anime/1625/149131l.jpg,Twilight (2025),2025-04-08,"Fantasy, Music",6.46,music
https://cdn.myanimelist.net/images/anime/1211/147335l.jpg,The Brilliant Healer's New Life in the Shadows,2025-04-03,"Fantasy, Medical",6.47,tv
https://cdn.myanimelist.net/images/anime/1897/149800l.webp,I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,2025-01-12,"Action, Adventure, Fantasy, Harem, Romance",6.58,tv
https://cdn.myanimelist.net/images/anime/1902/111797l.jpg,Sore Ike! Anpanman,1988-10-03,"Comedy, Fantasy, Kids",6.59,tv
https://cdn.myanimelist.net/images/anime/1735/146986l.jpg,Princession Orchestra,2025-04-06,"Action, Fantasy, Music",6.59,tv
https://cdn.myanimelist.net/images/anime/1703/148600l.jpg,I'm the Evil Lord of an Intergalactic Empire!,2025-04-06,"Action, Fantasy, Harem, Isekai, Mecha, Military, Reincarnation, Sci-Fi, Space",6.6,tv
https://cdn.myanimelist.net/images/anime/1663/148908l.jpg,The Kitchen is a Battlefield!,2025-04-01,"Gourmet, Workplace",6.63,pv
https://cdn.myanimelist.net/images/anime/1743/148272l.webp,The Unaware Atelier Meister,2025-04-06,"Action, Adventure, Fantasy",6.65,tv
https://cdn.myanimelist.net/images/anime/1660/143460l.jpg,Our Last Crusade or the Rise of a New World Season 2,2024-07-10,"Action, Fantasy, Military, Romance",6.66,tv
https://cdn.myanimelist.net/images/anime/1714/148317l.webp,The Gorilla God's Go-To Girl,2025-04-06,"Comedy, Fantasy, Romance, School",6.68,tv
https://cdn.myanimelist.net/images/anime/1304/148725l.jpg,One Piece in Love,2025-04-01,"Comedy, Parody, Romance, Shounen",6.75,ona
https://cdn.myanimelist.net/images/anime/1066/148358l.webp,Teogonia,2025-04-12,"Action, Adventure, Fantasy",6.77,tv
https://cdn.myanimelist.net/images/anime/1810/148985l.webp,7Fates: Chakho,2025-04-03,"Action, Fantasy",6.79,ona
https://cdn.myanimelist.net/images/anime/1394/145458l.jpg,Beyblade X,2023-10-06,"Adventure, Kids, Sports",6.81,tv
